file,nullcatch,throwskitchen,finallywiththrow,nestedtry,getcause,genericcatch,abortincatch,throwngeneric,incompleteimpl,catchreturnnull
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3native/NativeS3FileSystemContractBaseTest.java,0,0,0,0,0,0,0,11,0,0
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3native/TestJets3tNativeFileSystemStore.java,1,0,0,0,0,0,0,3,0,0
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3native/TestS3NInMemoryFileSystem.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3native/S3NInMemoryFileSystem.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/NativeAzureFileSystem.java,2,0,0,0,3,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbFsck.java,0,0,0,0,0,0,0,2,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/StorageInterface.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SendRequestIntercept.java,0,0,0,0,1,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/FileMetadata.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/ShellDecryptionKeyProvider.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PartialListing.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/NativeFileSystemStore.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobInputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/AzureException.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfThrottlingIntercept.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/AzureNativeFileSystemStore.java,2,5,0,1,0,0,0,1,0,1
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/KeyProviderException.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobOutputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/BlobMaterialization.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/KeyProvider.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SimpleKeyProvider.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobFormatHelpers.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/Wasb.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SelfRenewingLease.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/StorageInterfaceImpl.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/SyncableDataOutputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/AzureLinkedStack.java,0,0,0,0,0,0,0,2,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/AzureFileSystemInstrumentation.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/ErrorMetricUpdater.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/RollingWindowAverage.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/BandwidthGaugeUpdater.java,2,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/ResponseReceivedMetricUpdater.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/metrics/AzureFileSystemMetricsSystem.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-azure/src/test/java/org/apache/hadoop/fs/azure/TestNativeAzureFSPageBlobLive.java,0,0,0,0,0,0,0,1,0,0
